Geneid	CaBR1	CaBR2	CaOLBR1	CaOLBR2
MEALZ_RS00005	653	1840	1250	1582
MEALZ_RS00010	540	1458	1117	1415
MEALZ_RS00015	351	785	575	832
MEALZ_RS00020	2242	5904	4177	5403
MEALZ_RS00030	89	289	230	305
MEALZ_RS00035	189	503	398	491
MEALZ_RS00040	114	244	294	354
MEALZ_RS00045	74	157	191	260
MEALZ_RS00050	225	523	575	627
MEALZ_RS00055	18	46	48	62
MEALZ_RS00060	631	1765	1316	1728
MEALZ_RS00065	748	2304	1711	2140
MEALZ_RS22475	69	167	115	159
MEALZ_RS00075	530	1548	1322	1567
MEALZ_RS00080	25	79	71	53
MEALZ_RS00085	45	81	94	87
MEALZ_RS00095	172	391	323	466
MEALZ_RS00100	405	1073	802	974
MEALZ_RS00105	361	1134	955	1107
MEALZ_RS00110	360	1131	904	1104
MEALZ_RS00115	425	996	776	981
MEALZ_RS00120	1063	2386	1763	2456
MEALZ_RS00125	618	1364	1315	1761
MEALZ_RS00130	1832	4167	3556	4295
MEALZ_RS00135	1812	4724	4320	5447
MEALZ_RS00140	1833	4881	4958	6248
MEALZ_RS00145	127	330	346	398
MEALZ_RS20495	223	721	659	911
MEALZ_RS20500	157	496	379	440
MEALZ_RS00160	45	94	86	119
MEALZ_RS00165	254	665	475	567
MEALZ_RS00170	70	247	183	243
MEALZ_RS21255	775	2151	1602	2202
MEALZ_RS00180	64	251	199	208
MEALZ_RS22480	273	768	597	749
MEALZ_RS00190	268	671	540	711
MEALZ_RS23265	19	51	51	63
MEALZ_RS00200	57	129	90	177
MEALZ_RS00205	77	259	268	259
MEALZ_RS00210	137	334	280	377
MEALZ_RS00215	28	63	67	82
MEALZ_RS00220	45	170	154	186
MEALZ_RS00225	405	1299	936	1193
MEALZ_RS00230	491	1052	818	1200
MEALZ_RS23670	10	49	53	81
MEALZ_RS00235	97	314	255	325
MEALZ_RS00240	271	776	585	749
MEALZ_RS20505	319	812	586	815
MEALZ_RS00250	222	497	285	471
MEALZ_RS00255	851	2385	1450	1928
MEALZ_RS00260	66	214	142	176
MEALZ_RS00265	370	1066	738	862
MEALZ_RS00270	302	751	518	747
MEALZ_RS00275	221	543	371	580
MEALZ_RS00280	433	1009	823	938
MEALZ_RS00285	204	664	572	662
MEALZ_RS00290	164	526	426	561
MEALZ_RS00295	116	404	427	478
MEALZ_RS00300	396	1173	872	1208
MEALZ_RS00305	440	1432	1072	1400
MEALZ_RS00310	186	540	425	548
MEALZ_RS00315	416	998	801	1058
MEALZ_RS00320	472	1470	1139	1464
MEALZ_RS00325	563	1550	1139	1496
MEALZ_RS00330	354	953	711	897
MEALZ_RS00335	427	1224	932	1191
MEALZ_RS00340	1009	2686	1882	2412
MEALZ_RS00350	426	1282	1168	1452
MEALZ_RS00355	489	1258	1237	1554
MEALZ_RS00360	601	1709	1578	1841
MEALZ_RS00365	2156	5754	4912	6109
MEALZ_RS00370	1182	3035	2482	3048
MEALZ_RS00375	1208	3105	2549	3108
MEALZ_RS00380	2217	5553	4271	5120
MEALZ_RS00385	1133	3535	2874	3361
MEALZ_RS00390	464	1263	964	1192
MEALZ_RS00395	365	828	530	841
MEALZ_RS00400	292	716	625	893
MEALZ_RS00405	270	710	610	813
MEALZ_RS00410	399	1024	880	1104
MEALZ_RS00415	183	451	426	520
MEALZ_RS00420	288	775	604	816
MEALZ_RS00425	479	1434	1043	1428
MEALZ_RS00430	334	1031	836	1054
MEALZ_RS00435	213	590	393	605
MEALZ_RS00440	313	833	626	876
MEALZ_RS00445	757	1938	1567	1994
MEALZ_RS00450	1622	3475	2362	3685
MEALZ_RS00455	1927	5161	3936	4816
MEALZ_RS00460	1711	4917	3904	4799
MEALZ_RS00465	5094	13583	11142	14239
MEALZ_RS00470	295	558	384	503
MEALZ_RS00475	3940	9903	8376	10215
MEALZ_RS00480	3313	8903	8142	8911
MEALZ_RS00485	994	3037	2746	3104
MEALZ_RS00490	199	423	313	447
MEALZ_RS00495	289	671	545	714
MEALZ_RS00500	643	1533	1137	1601
MEALZ_RS00505	463	1130	879	1176
MEALZ_RS00510	228	683	604	668
MEALZ_RS00515	3439	8625	6700	8588
MEALZ_RS00520	1206	3843	3249	3785
MEALZ_RS00525	255	770	745	871
MEALZ_RS00530	2551	6251	4420	5691
MEALZ_RS00540	6885	20604	24850	28498
MEALZ_RS00545	7526	19926	16607	19576
MEALZ_RS00555	346	945	659	838
MEALZ_RS00560	890	2584	1850	2479
MEALZ_RS00565	547	1724	1388	1762
MEALZ_RS00570	1373	3680	2915	3464
MEALZ_RS00580	427	648	502	1065
MEALZ_RS00585	325	1068	1153	1624
MEALZ_RS00600	444	1306	1005	1300
MEALZ_RS00605	487	1047	816	1033
MEALZ_RS00610	663	1532	1187	1471
MEALZ_RS00615	365	787	582	835
MEALZ_RS00620	204	519	377	449
MEALZ_RS00625	565	1648	1407	1716
MEALZ_RS00630	956	2388	2190	2771
MEALZ_RS00635	178	387	276	397
MEALZ_RS00640	228	562	417	513
MEALZ_RS00645	265	659	562	792
MEALZ_RS00650	671	1758	1475	1832
MEALZ_RS00655	1917	5273	4501	5633
MEALZ_RS00660	1530	4550	3585	4482
MEALZ_RS00665	494	1389	1263	1566
MEALZ_RS00670	828	2198	1743	2129
