Gene	CaBR1	CaBR2	LaBR1	LaBR2
MEALZ_RS00005	653	1840	605	1361
MEALZ_RS00010	540	1458	462	1111
MEALZ_RS00015	351	785	419	842
MEALZ_RS00020	2242	5904	2123	4220
MEALZ_RS00030	89	289	143	278
MEALZ_RS00035	189	503	225	495
MEALZ_RS00040	114	244	194	305
MEALZ_RS00045	74	157	225	416
MEALZ_RS00050	225	523	589	874
MEALZ_RS00055	18	46	44	83
MEALZ_RS00060	631	1765	645	1514
MEALZ_RS00065	748	2304	642	1336
MEALZ_RS22475	69	167	61	161
MEALZ_RS00075	530	1548	493	903
MEALZ_RS00080	25	79	50	94
MEALZ_RS00085	45	81	57	114
MEALZ_RS00095	172	391	174	378
MEALZ_RS00100	405	1073	354	660
MEALZ_RS00105	361	1134	331	627
MEALZ_RS00110	360	1131	331	668
MEALZ_RS00115	425	996	293	627
MEALZ_RS00120	1063	2386	783	1579
MEALZ_RS00125	618	1364	368	785
MEALZ_RS00130	1832	4167	1853	3383
MEALZ_RS00135	1812	4724	1644	3421
MEALZ_RS00140	1833	4881	1471	3500
MEALZ_RS00145	127	330	145	281
MEALZ_RS20495	223	721	272	493
MEALZ_RS20500	157	496	180	403
MEALZ_RS00160	45	94	66	127
MEALZ_RS00165	254	665	373	804
MEALZ_RS00170	70	247	159	299
MEALZ_RS21255	775	2151	712	2117
MEALZ_RS00180	64	251	105	226
MEALZ_RS22480	273	768	242	506
MEALZ_RS00190	268	671	384	682
MEALZ_RS23265	19	51	43	80
MEALZ_RS00200	57	129	48	114
MEALZ_RS00205	77	259	88	153
MEALZ_RS00210	137	334	150	385
MEALZ_RS00215	28	63	55	103
MEALZ_RS00220	45	170	61	152
MEALZ_RS00225	405	1299	510	1116
MEALZ_RS00230	491	1052	439	884
MEALZ_RS23670	10	49	42	89
MEALZ_RS00235	97	314	113	254
MEALZ_RS00240	271	776	287	586
MEALZ_RS20505	319	812	318	651
MEALZ_RS00250	222	497	260	507
MEALZ_RS00255	851	2385	1166	2270
MEALZ_RS00260	66	214	70	199
MEALZ_RS00265	370	1066	443	956
MEALZ_RS00270	302	751	293	683
MEALZ_RS00275	221	543	199	472
MEALZ_RS00280	433	1009	528	1119
MEALZ_RS00285	204	664	311	687
MEALZ_RS00290	164	526	184	424
MEALZ_RS00295	116	404	191	432
MEALZ_RS00300	396	1173	420	802
MEALZ_RS00305	440	1432	388	924
MEALZ_RS00310	186	540	259	413
MEALZ_RS00315	416	998	506	1048
MEALZ_RS00320	472	1470	585	1129
MEALZ_RS00325	563	1550	511	1156
MEALZ_RS00330	354	953	542	1331
MEALZ_RS00335	427	1224	475	984
MEALZ_RS00340	1009	2686	1190	2360
MEALZ_RS00350	426	1282	426	795
MEALZ_RS00355	489	1258	366	792
MEALZ_RS00360	601	1709	552	1135
MEALZ_RS00365	2156	5754	1632	3201
MEALZ_RS00370	1182	3035	1114	1961
MEALZ_RS00375	1208	3105	835	1719
MEALZ_RS00380	2217	5553	1487	3141
MEALZ_RS00385	1133	3535	845	1681
MEALZ_RS00390	464	1263	391	688
MEALZ_RS00395	365	828	357	639
MEALZ_RS00400	292	716	302	681
MEALZ_RS00405	270	710	270	581
MEALZ_RS00410	399	1024	425	842
MEALZ_RS00415	183	451	208	385
MEALZ_RS00420	288	775	306	626
