Geneid	o2_12_19_mc2	o2_12_19_mc2_1	o2_12_19_mc2_2	o2_12_19_mc3_2	o2_12_19_mc3_1	o2_12_19_mc3	no_o2_12_21_mc11_2	no_o2_12_21_mc11_1	no_o2_12_21_mc11	no_o2_12_21_mc12_2	no_o2_12_21_mc12_1	no_o2_12_21_mc12
MEALZ_RS00005	59	5	941	26	0	464	23	5	136	24	0	156
MEALZ_RS00010	40	6	504	20	0	216	9	0	83	3	1	82
MEALZ_RS00015	41	4	395	12	2	223	16	3	134	10	2	89
MEALZ_RS00020	108	15	1539	63	7	840	59	6	294	34	2	272
MEALZ_RS00030	8	0	109	6	1	29	2	0	25	0	0	18
MEALZ_RS00035	23	2	630	9	2	223	13	2	54	6	2	53
MEALZ_RS00040	41	3	515	29	1	227	12	1	95	8	0	80
MEALZ_RS00045	37	4	377	24	1	208	13	0	97	7	2	86
MEALZ_RS00050	49	12	729	38	3	359	57	2	251	24	5	204
MEALZ_RS00055	3	0	55	2	0	33	5	0	20	2	0	16
MEALZ_RS00060	129	13	1697	70	3	1005	38	6	241	36	4	206
MEALZ_RS00065	97	9	1734	74	6	992	43	4	240	32	3	260
MEALZ_RS22475	7	0	134	1	1	88	2	0	13	2	0	21
MEALZ_RS00075	62	4	914	57	1	563	37	2	303	18	4	279
MEALZ_RS00080	2	2	49	2	0	31	1	0	13	5	0	10
MEALZ_RS00085	3	0	85	5	0	69	7	0	18	1	0	30
MEALZ_RS00095	38	5	452	16	0	167	8	1	75	7	1	59
MEALZ_RS00100	78	9	950	59	3	527	12	2	67	13	0	77
MEALZ_RS00105	111	10	1782	70	1	812	31	3	124	24	0	201
MEALZ_RS00110	488	41	6240	473	30	4863	76	3	236	94	8	586
MEALZ_RS00115	23	7	463	12	4	167	7	0	41	4	0	38
MEALZ_RS00120	63	8	974	26	2	408	12	0	79	9	0	73
MEALZ_RS00125	97	6	933	51	2	441	9	2	54	9	0	42
MEALZ_RS00130	158	15	2103	95	4	976	7	2	67	6	0	70
MEALZ_RS00135	154	27	1993	120	6	1418	29	0	235	22	2	214
MEALZ_RS00140	92	14	1295	57	5	742	44	1	176	16	1	147
