Geneid	o2_12_19_br1_1	o2_12_19_br1_2	o2_12_19_br1	o2_12_19_br3_1	o2_12_19_br3_2	o2_12_19_br3	no_o2_12_21_br3_2	no_o2_12_21_br3_1	no_o2_12_21_br3	no_o2_12_22_br3	no_o2_12_22_br3_1
MEALZ_RS00005	20	249	1213	19	174	2238	161	15	678	346	133
MEALZ_RS00010	19	281	1052	15	173	1781	90	8	232	209	105
MEALZ_RS00015	7	138	596	10	126	832	86	8	307	137	67
MEALZ_RS00020	46	707	3054	54	559	4704	244	26	715	708	283
MEALZ_RS00030	1	17	121	2	23	184	8	3	37	29	9
MEALZ_RS00035	8	86	496	7	87	814	70	8	288	146	42
MEALZ_RS00040	5	77	351	7	69	610	53	4	182	105	40
MEALZ_RS00045	9	77	358	4	66	444	16	4	87	101	34
MEALZ_RS00050	10	190	861	24	155	1108	75	5	242	246	108
MEALZ_RS00055	3	10	57	0	7	110	11	1	34	18	3
MEALZ_RS00060	10	186	988	17	144	1658	344	35	1316	730	274
MEALZ_RS00065	14	255	1320	16	189	2092	249	28	915	738	276
MEALZ_RS22475	2	16	103	2	16	142	13	4	73	35	10
MEALZ_RS00075	20	171	1045	11	172	1860	139	16	572	389	107
MEALZ_RS00080	1	13	59	0	6	119	11	0	30	25	8
MEALZ_RS00085	1	13	49	0	13	123	12	1	40	20	10
MEALZ_RS00095	7	80	514	6	60	798	111	11	420	173	61
MEALZ_RS00100	28	308	1362	25	240	1974	134	18	442	276	121
MEALZ_RS00105	19	199	1067	13	160	1859	138	14	458	318	129
MEALZ_RS00110	12	181	857	7	125	1258	259	30	864	766	294
MEALZ_RS00115	17	158	812	13	163	1425	61	8	211	155	71
MEALZ_RS00120	37	348	1648	17	292	2991	142	13	449	456	183
MEALZ_RS00125	43	562	2155	48	516	3392	216	26	558	307	103
MEALZ_RS00130	76	955	3756	61	689	6710	326	33	1276	696	296
MEALZ_RS00135	32	362	1716	27	296	3036	581	55	1940	1835	774
MEALZ_RS00140	31	387	1895	24	306	2782	399	49	1205	1902	798
MEALZ_RS00145	3	25	156	0	25	234	50	3	172	88	29
MEALZ_RS20495	9	93	421	7	88	745	85	12	306	216	77
MEALZ_RS20500	12	47	226	1	31	300	83	7	229	181	88
MEALZ_RS00160	1	10	56	1	8	101	16	5	88	56	21
MEALZ_RS00165	3	35	256	3	38	361	125	6	361	286	124
MEALZ_RS00170	1	15	85	2	11	121	44	0	140	95	38
MEALZ_RS21255	5	113	465	3	69	868	899	79	3330	1278	553
MEALZ_RS00180	3	19	96	0	16	152	99	9	371	171	70
MEALZ_RS22480	6	100	549	7	86	1005	94	8	313	277	109
MEALZ_RS00190	9	93	432	7	59	750	88	15	380	242	89
MEALZ_RS23265	3	20	113	3	17	192	14	2	45	38	7
MEALZ_RS00200	3	46	196	1	44	467	32	3	104	73	25
MEALZ_RS00205	1	43	233	1	44	414	43	1	125	81	29
MEALZ_RS00210	1	41	259	1	31	521	50	6	203	110	31
MEALZ_RS00215	2	5	61	2	6	107	13	0	49	29	6
MEALZ_RS00220	4	10	70	1	8	148	14	4	81	38	17
MEALZ_RS00225	12	124	578	10	100	983	225	16	594	518	240
MEALZ_RS00230	9	117	519	6	69	796	158	26	647	282	128
MEALZ_RS23670	2	29	309	2	27	483	32	4	126	76	14
MEALZ_RS00235	4	47	224	2	35	418	30	4	137	131	42
MEALZ_RS00240	12	100	569	9	80	1020	100	6	357	236	71
MEALZ_RS20505	10	120	580	6	94	956	111	11	432	208	82
MEALZ_RS00250	4	55	291	7	48	453	61	6	187	103	48
MEALZ_RS00255	22	267	1295	23	184	2163	457	47	1569	1208	474
MEALZ_RS00260	3	33	196	2	28	329	105	8	425	278	99
MEALZ_RS00265	20	167	725	13	115	1248	234	30	768	609	271
MEALZ_RS00270	6	84	460	3	49	707	87	10	297	162	79
MEALZ_RS00275	9	126	486	13	104	802	69	7	204	169	84
MEALZ_RS00280	12	157	690	9	107	877	48	4	187	122	58
MEALZ_RS00285	16	207	698	14	132	1320	27	2	131	51	46
MEALZ_RS00290	12	147	643	8	101	1256	28	4	119	74	32
MEALZ_RS00295	14	110	533	8	59	855	25	5	124	41	22
MEALZ_RS00300	24	286	1204	27	216	1716	122	12	466	315	142
MEALZ_RS00305	14	302	1290	16	238	2135	126	12	412	251	108
MEALZ_RS00310	5	144	539	7	91	854	25	6	147	70	24
MEALZ_RS00315	20	202	804	19	171	854	82	7	215	152	105
MEALZ_RS00320	30	278	1255	10	229	1514	139	10	440	289	142
MEALZ_RS00325	17	287	1045	23	216	1731	150	14	376	291	123
MEALZ_RS00330	11	162	666	9	108	711	82	14	203	168	71
MEALZ_RS00335	13	192	893	10	168	1394	135	14	364	239	110
MEALZ_RS00340	36	374	1728	27	314	2958	277	31	1085	534	190
MEALZ_RS00350	20	239	1154	23	196	1766	127	10	426	251	77
MEALZ_RS00355	28	315	1610	19	275	2532	223	16	854	347	145
MEALZ_RS00360	29	248	1327	19	168	2297	223	22	834	438	178
MEALZ_RS00365	113	1373	7280	96	1162	12205	392	46	1453	1355	486
MEALZ_RS00370	52	592	3513	54	519	6374	242	29	1153	705	256
MEALZ_RS00375	46	540	2688	37	475	4510	159	10	527	392	177
MEALZ_RS00380	99	1205	5520	58	900	6064	157	19	424	614	243
MEALZ_RS00385	60	639	3331	40	537	4470	89	10	258	350	127
MEALZ_RS00390	25	253	1233	18	231	1708	46	5	115	152	58
MEALZ_RS00395	16	223	899	11	180	1265	55	5	132	92	52
MEALZ_RS00400	10	143	767	10	126	960	30	2	87	113	47
MEALZ_RS00405	7	147	965	9	115	1527	22	3	122	112	42
MEALZ_RS00410	23	193	1149	9	165	1835	83	10	274	216	82
MEALZ_RS00415	5	96	452	5	71	678	44	5	174	102	46
MEALZ_RS00420	12	133	599	6	130	777	46	3	118	89	45
MEALZ_RS00425	12	167	977	9	157	1680	109	13	436	283	94
MEALZ_RS00430	13	168	847	6	104	1464	94	15	410	233	96
MEALZ_RS00435	18	157	750	11	111	1343	87	6	342	260	109
MEALZ_RS00440	17	141	613	10	135	629	94	17	203	221	107
