Geneid	Length	SRR10758340	SRR10758341	SRR10758342	SRR10758343	SRR10758344	SRR10758345	SRR10758346	SRR10758347	SRR10758348	SRR10758349	SRR22746225	SRR22746226	SRR22746227	SRR22746228	SRR8508226	SRR8508227	SRR8508228	SRR8508229	SRR8508230	SRR8508231	SRR8508232	SRR8508233	SRR5877048	SRR5877049	SRR5877050	SRR5877051	SRR5877052	SRR5877053	SRR5877054	SRR5877055	SRR5877056	SRR5877057	SRR5877058	SRR5877059	SRR5877060	SRR5877061	SRR6715625	SRR6715626	SRR6715627	SRR6715628	SRR6715629	SRR6715630
EQU24_RS00005	1317	261	452	399	146	590	343	578	367	386	1775	7864	4796	7129	6184	1333	1536	1206	1330	788	1122	1144	934	8332	7431	3288	2254	1609	2743	3642	3320	1591	3127	4118	1654	2479	2004	1700	1114	1287	5157	3450	3207
EQU24_RS00010	1101	913	984	605	453	635	386	490	292	583	1307	5153	3607	3698	3147	1392	1747	1314	1725	840	1228	1251	1131	6727	5777	3261	2286	1663	2792	3801	2873	1632	3306	2405	2599	2553	1858	1193	906	729	5177	3642	3318
EQU24_RS00015	1080	158	237	418	125	322	202	447	306	229	590	3163	2048	2656	2613	666	812	561	789	396	588	668	587	4000	3550	1616	1095	1124	1653	2241	1791	1047	1818	1508	612	1137	1028	1062	813	626	2742	2109	1863
EQU24_RS00020	2415	1159	1542	1629	816	936	708	1538	1193	944	2662	20811	14844	13319	10890	3600	4598	3373	4836	2612	3670	4139	3021	19834	17942	7991	6335	3866	5322	7748	8283	4740	8685	6120	9246	5303	3996	2815	1555	1379	12667	9020	8356
EQU24_RS00035	384	52	97	503	45	235	152	605	352	134	315	7403	4700	4002	3634	1533	1624	1156	1446	842	1123	1319	1106	6507	6580	2069	1223	706	1298	1955	2434	908	2332	2016	865	1400	1564	915	547	720	2874	2119	1951
EQU24_RS00040	1257	106	211	475	107	229	130	430	485	125	402	2055	1555	1333	1190	1280	1508	1091	1413	829	1114	1081	845	5021	4843	1654	1067	646	1014	1525	1444	733	1446	2242	1544	2077	1828	725	461	352	2099	1449	1418
EQU24_RS00045	1170	186	232	657	193	194	104	666	556	128	459	1900	1469	1210	1049	745	842	543	872	426	564	678	440	2934	2601	1282	837	682	792	1338	918	640	956	1938	1942	2050	1337	532	308	225	1534	1194	1079
EQU24_RS00050	3066	505	666	1491	721	500	356	1566	1235	522	1329	7047	5258	4540	3654	1762	2070	1345	2002	927	1304	1492	1087	8015	6820	3514	2191	1808	2082	3237	2515	1823	2624	5027	3448	3809	3508	1870	1064	888	3750	3116	2868
EQU24_RS00055	306	35	56	160	33	41	33	237	193	37	110	439	319	225	257	176	215	135	235	100	128	171	106	732	610	320	194	138	140	256	219	142	210	338	258	224	352	169	55	64	247	216	221
EQU24_RS00060	2571	918	1043	742	582	1097	734	1212	952	559	1202	6299	4461	4278	3957	2514	3038	2192	2975	1286	1852	2422	2017	7339	6832	2410	1680	2481	4034	5559	4652	2388	4737	4151	3311	3559	4095	1597	1100	827	5080	3831	3721
EQU24_RS22660	2370	110	197	689	117	629	949	1393	1193	194	265	3957	2910	2338	2385	863	931	725	981	504	821	1015	673	2843	2675	1026	660	1255	1673	2429	1588	981	1593	1100	792	1016	1101	918	442	462	1941	1536	1430
EQU24_RS00070	216	11	13	3	7	42	50	21	10	14	11	151	127	111	94	29	28	24	19	22	20	27	15	106	129	51	44	66	93	151	92	48	86	77	71	72	73	12	20	19	107	73	66
EQU24_RS00075	312	11	14	15	17	73	97	79	40	14	34	134	98	104	91	81	64	36	42	45	60	53	39	234	230	110	55	98	139	191	154	67	112	113	62	102	112	70	30	29	153	107	99
